iD	systemName	alternateName	x	y	size	sarnaLink	distance (LY)	2271	2317	2319	2341	2367	2571	2596	2750	2765	2767	2783	2786	2821	2822	2830	2864	3025	3030	3040	3049	3050a	3050b	3050c	3051	3052	3057	3058	3059a	3059b	3059c	3059d	3063	3067	3068	3075	3079	3081	3085	3095	3130	3135	3145	3151	3152
314	Betelgeuse		5.674	-306.903	1,1,0	https://www.sarna.net/wiki/Betelgeuse	306.955	U	U	U	U	U	U	U	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8
1464	Latice		10.590	-293.726	1,1,0	https://www.sarna.net/wiki/Latice	293.917					SCo	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8
2778	Wright		26.351	-290.847	1,1,0	https://www.sarna.net/wiki/Wright	292.038	U	U	U	U	U	U	U	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 6	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8
1874	Niomede		-0.273	-349.524	1,1,0	https://www.sarna.net/wiki/Niomede	349.524	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9
2068	Principia		-0.016	-357.850	1,1,0	https://www.sarna.net/wiki/Principia	357.850	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9
2072	Procyon		-5.043	-11.064	1,1,0	https://www.sarna.net/wiki/Procyon	12.159	TA	TH	TH	TH	TH	TH,Alliance Core	TH,Alliance Core	TH,Alliance Core	TH,Alliance Core	AE,Alliance Core	TH,Alliance Core	TH,Alliance Core	FWL	FWL	FWL	FWL	FWL	TFR	FCL,Sarna March,Terra Firma Operational Area,Region 1	FCL,Sarna March,Terra Firma Operational Area,Region 1	FCL,Sarna March,Terra Firma Operational Area,Region 1	FCL,Sarna March,Terra Firma Operational Area,Region 1	FCL,Sarna March,Terra Firma Operational Area,Region 1	FCL,Sarna March,Terra Firma Operational Area,Region 1	FCL,Sarna March,Terra Firma Operational Area,Region 1	LA,Sarna March,Terra Firma Operational Area,Region 1	CM	CM	CM	CM	CM	FWL	FWL,Sirian Concordat	FWL,Sirian Concordat	WB	CoF	RS,Prefecture X	RS,Prefecture X	RS,Prefecture X	RS,Prefecture X	RS,Prefecture X	RS	CC,Tikonov Commonality,Region 1	CC,Tikonov Commonality,Region 1
1040	Hall		-13.961	-44.251	1,1,0	https://www.sarna.net/wiki/Hall	46.401	I	I	I	TH	TH	TH,Terra Firma Province	TH,Terra Firma Province	TH,Terra Firma Province	TH,Terra Firma Province	AE,Terra Firma Province	TH,Terra Firma Province	TH,Brownsville Province	CC,Tikonov Commonality,Region 2	CC,Tikonov Commonality,Region 2	CC,Tikonov Commonality,Region 2	CC,Tikonov Commonality,Region 2	CC,Tikonov Commonality,Region 4	TFR	FCL,Sarna March,Terra Firma Operational Area,Region 2	FCL,Sarna March,Terra Firma Operational Area,Region 2	FCL,Sarna March,Terra Firma Operational Area,Region 2	FCL,Sarna March,Terra Firma Operational Area,Region 2	FCL,Sarna March,Terra Firma Operational Area,Region 2	FCL,Sarna March,Terra Firma Operational Area,Region 2	FCL,Sarna March,Terra Firma Operational Area,Region 2	LA,Sarna March,Terra Firma Operational Area,Region 2	CM	CM	CM	CM	CM	CM	WB	WB	WB	CoF	RS,Prefecture VI	RS,Prefecture VI	RS,Prefecture VI	RS,Prefecture VI	RS,Prefecture VI	RS	CC,Tikonov Commonality,Region 2	CC,Tikonov Commonality,Region 2
128	Andarmax		-3.375	-386.492	1,1,0	https://www.sarna.net/wiki/Andarmax	386.507	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Sian Commonality,Region 7	MOC	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1
447	Calseraigne		-8.281	-367.667	1,1,0	https://www.sarna.net/wiki/Calseraigne	367.760					I	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3,Major Capital	CC,Andurien Commonality,Region 3,Major Capital	CC,Andurien Commonality,Region 3,Major Capital	CC,Andurien Commonality,Region 3,Major Capital	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	I	I	I	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1
2030	Pilpala		-23.534	-375.392	1,1,0	https://www.sarna.net/wiki/Pilpala	376.129	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	FWL	I	I	I	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1
2254	Sax		-1.561	-374.600	1,1,0	https://www.sarna.net/wiki/Sax	374.603	U	U	U	U	U	U	U	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Andurien Commonality,Region 3	CC,Sian Commonality,Region 7	MOC	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Sian Commonality,Region 7	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1	CC,Victoria Commonality,Region 1
744	Drozan		31.267	-369.942	1,1,0	https://www.sarna.net/wiki/Drozan	371.261	U	U	U	U	U	U	U	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 13	MOC	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2
1019	Gunthar		39.275	-383.124	1,1,0	https://www.sarna.net/wiki/Gunthar	385.132	U	U	U	U	U	U	U	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2,Major Capital	CC,Victoria Commonality,Region 2,Major Capital	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2
1228	Jacomarle		12.911	-382.628	1,1,0	https://www.sarna.net/wiki/Jacomarle	382.846	U	U	U	U	U	U	U	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 13	MOC	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2
2601	Turin		21.186	-367.858	1,1,0	https://www.sarna.net/wiki/Turin	368.468	U	U	U	U	U	U	U	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 8	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Sian Commonality,Region 13	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2	CC,Victoria Commonality,Region 2
1426	Kurvasa		39.543	-351.609	1,1,0	https://www.sarna.net/wiki/Kurvasa	353.826					CCom	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Sian Commonality,Region 9	CC,Victoria Commonality,Region 3	CC,Victoria Commonality,Region 3	CC,Victoria Commonality,Region 3	CC,Victoria Commonality,Region 3	CC,Victoria Commonality,Region 3	CC,Victoria Commonality,Region 3	CC,Victoria Commonality,Region 3	CC,Victoria Commonality,Region 3	CC,Victoria Commonality,Region 3	CC,Victoria Commonality,Region 3	CC,Victoria Commonality,Region 3	CC,Victoria Commonality,Region 3	CC,Victoria Commonality,Region 3
156	Apollo		-129.641	432.458	1,1,0	https://www.sarna.net/wiki/Apollo_(system)	451.472	RW,Faction Capital	RW,Faction Capital	RW,Faction Capital	RW,Faction Capital	RW,Faction Capital	RW,Apollo Province,Faction Capital	RW,Apollo Province,Faction Capital	RW,Apollo Province,Faction Capital	RW,Apollo Province,Faction Capital	RW,Apollo Province,Faction Capital	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	FCL,Tamar March,Blackjack Operational Area,Region 1	FCL,Tamar March,Blackjack Operational Area,Region 1	FCL,Tamar March,Blackjack Operational Area,Region 1	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CHH	CHH	CHH	CHH	CHH	CHH	CHH	CHH	CHH	CHH
268	Basiliano		-36.966	341.425	1,1,0	https://www.sarna.net/wiki/Basiliano	343.420	U	U	U	U		LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	DC,Rasalhague Military District,Radstadt Prefecture	DC,Rasalhague Military District,Kirchbach Prefecture	LC,Tamar Pact,Tamar Domains	FR,Radstadt Province	FR,Radstadt Province	FR,Radstadt Province	FR,Radstadt Province	FR,Radstadt Province	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CHH	CHH	CHH
303	Bensinger		-128.757	444.564	1,1,0	https://www.sarna.net/wiki/Bensinger	462.834	U	U	U	RW	RW	RW,Apollo Province	RW,Apollo Province	RW,Apollo Province	RW,Apollo Province	RW,Apollo Province	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	FCL,Tamar March,Blackjack Operational Area,Region 1	FCL,Tamar March,Blackjack Operational Area,Region 1	CJF	CJF	CJF	CJF	CJF	CSV	CSV	CSV	CSV	CSV	CSV	CJF	CJF	CJF	CHH	CHH	CHH	CHH	CHH	CHH	CHH	CHH	CHH	CHH
310	Bessarabia		-25.605	276.803	1,1,0	https://www.sarna.net/wiki/Bessarabia	277.985	U	U	U	U	U	U	U	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CWF	CWF	CHH	CHH	CHH
329	Biota		-44.735	271.632	1,1,0	https://www.sarna.net/wiki/Biota	275.291	U	U	U	U	U	U	U	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	FCL,Tamar March,Benfled Operational Area,Region 2	FCL,Tamar March,Benfled Operational Area,Region 2	FCL,Tamar March,Benfled Operational Area,Region 2	FCL,Tamar March,Benfled Operational Area,Region 2	FCL,Tamar March,Benfled Operational Area,Region 2	FCL,Tamar March,Benfled Operational Area,Region 2	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CWF	CWF	CJF	CHH	CHH
525	Chateau		-75.747	395.445	1,1,0	https://www.sarna.net/wiki/Chateau	402.634				TamP		A	A	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	LC,Tamar Pact,Trellshire	FCL,Tamar March,Blackjack Operational Area,Region 3	FCL,Tamar March,Blackjack Operational Area,Region 3	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CHH	CHH	CHH	CHH	CHH	CHH	CHH	CHH	CHH	CHH
578	Colmar		-66.184	299.293	1,1,0	https://www.sarna.net/wiki/Colmar	306.523	U	U	U	U	U	U	U	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CHH	CHH
638	Cusset		-49.375	283.778	1,1,0	https://www.sarna.net/wiki/Cusset	288.041			TamP	TamP	LC,Tamar Pact	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	LC,Tamar Pact,Tamar Domains	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	FCL,Tamar March,Benfled Operational Area,Region 1	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CWF	CJF	CJF	CJF	CJF	CJF	CJF	CJF	CWF	CWF	CHH	CHH	CHH
